Division,Line,Borough,Stop Name,Complex ID,Constituent Station Name,Station ID,GTFS Stop ID,Daytime Routes,Entrance Type,Entry Allowed,Exit Allowed,Latitude,Longitude,entrance_georeference
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Stair,YES,YES,40.683905,-73.978879,POINT (-73.978879 40.683905)
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Elevator,YES,YES,40.683805,-73.978487,POINT (-73.978487 40.683805)
BMT,4th Av,B,Atlantic Av-Barclays Ctr,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,Stair,YES,YES,40.683928,-73.978412,POINT (-73.978412 40.683928)
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.6771544,-73.9834296,POINT (-73.9834296 40.6771544)
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.6772958,-73.9833364,POINT (-73.9833364 40.6772958)
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.677001,-73.983133,POINT (-73.983133 40.677001)
BMT,4th Av,B,Union St,28,Union St,28,R32,R,Stair,YES,YES,40.677171,-73.98302,POINT (-73.98302 40.677171)
BMT,4th Av,B,4 Av-9 St,608,4 Av-9 St,29,R33,F G R,Stair,YES,YES,40.670538,-73.988778,POINT (-73.988778 40.670538)
BMT,4th Av,B,4 Av-9 St,608,4 Av-9 St,29,R33,F G R,Stair,YES,YES,40.6704052,-73.9884866,POINT (-73.9884866 40.6704052)
BMT,4th Av,B,Prospect Av,30,Prospect Av,30,R34,R,Stair,YES,YES,40.6652787,-73.9932544,POINT (-73.9932544 40.6652787)
BMT,4th Av,B,Prospect Av,30,Prospect Av,30,R34,R,Stair,YES,YES,40.6650684,-73.9930473,POINT (-73.9930473 40.6650684)
BMT,4th Av,B,Prospect Av,30,Prospect Av,30,R34,R,Stair,YES,YES,40.665299,-73.992729,POINT (-73.992729 40.665299)
BMT,4th Av,B,25 St,31,25 St,31,R35,R,Stair,YES,YES,40.6605007,-73.998224,POINT (-73.998224 40.6605007)
BMT,4th Av,B,25 St,31,25 St,31,R35,R,Stair,YES,YES,40.660323,-73.997952,POINT (-73.997952 40.660323)
BMT,4th Av,B,36 St,32,36 St,32,R36,D N R,Stair,YES,YES,40.65449,-74.004499,POINT (-74.004499 40.65449)
BMT,4th Av,B,36 St,32,36 St,32,R36,D N R,Stair,YES,YES,40.6546909,-74.0043071,POINT (-74.0043071 40.6546909)
BMT,4th Av,B,36 St,32,36 St,32,R36,D N R,Stair,YES,YES,40.654365,-74.004113,POINT (-74.004113 40.654365)
BMT,4th Av,B,45 St,33,45 St,33,R39,R,Stair,YES,YES,40.6494326,-74.0097327,POINT (-74.0097327 40.6494326)
BMT,4th Av,B,45 St,33,45 St,33,R39,R,Stair,YES,YES,40.6495617,-74.0096026,POINT (-74.0096026 40.6495617)
BMT,4th Av,B,45 St,33,45 St,33,R39,R,Stair,YES,YES,40.6492747,-74.009461,POINT (-74.009461 40.6492747)
BMT,4th Av,B,45 St,33,45 St,33,R39,R,Stair,YES,YES,40.6494028,-74.0093232,POINT (-74.0093232 40.6494028)
BMT,4th Av,B,53 St,34,53 St,34,R40,R,Stair,YES,YES,40.6446672,-74.014688,POINT (-74.014688 40.6446672)
BMT,4th Av,B,53 St,34,53 St,34,R40,R,Stair,YES,YES,40.6447641,-74.0145927,POINT (-74.0145927 40.6447641)
BMT,4th Av,B,53 St,34,53 St,34,R40,R,Stair,YES,YES,40.6445032,-74.0144244,POINT (-74.0144244 40.6445032)
BMT,4th Av,B,53 St,34,53 St,34,R40,R,Stair,YES,YES,40.644601,-74.014309,POINT (-74.014309 40.644601)
BMT,4th Av,B,53 St,34,53 St,34,R40,R,Stair,YES,YES,40.6456266,-74.01369,POINT (-74.01369 40.6456266)
BMT,4th Av,B,59 St,35,59 St,35,R41,N R,Stair,YES,YES,40.6406896,-74.0188637,POINT (-74.0188637 40.6406896)
BMT,4th Av,B,59 St,35,59 St,35,R41,N R,Stair,YES,YES,40.640491,-74.0185665,POINT (-74.0185665 40.640491)
BMT,4th Av,B,59 St,35,59 St,35,R41,N R,Stair,YES,YES,40.6416248,-74.0178508,POINT (-74.0178508 40.6416248)
BMT,4th Av,B,59 St,35,59 St,35,R41,N R,Elevator,YES,YES,40.6417413,-74.0177502,POINT (-74.0177502 40.6417413)
BMT,4th Av,B,59 St,35,59 St,35,R41,N R,Stair,YES,YES,40.6414668,-74.0175533,POINT (-74.0175533 40.6414668)
BMT,4th Av,B,59 St,35,59 St,35,R41,N R,Stair,YES,YES,40.6415691,-74.017435,POINT (-74.017435 40.6415691)
BMT,4th Av,B,Bay Ridge Av,36,Bay Ridge Av,36,R42,R,Stair,YES,YES,40.634827,-74.02358,POINT (-74.02358 40.634827)
BMT,4th Av,B,Bay Ridge Av,36,Bay Ridge Av,36,R42,R,Stair,YES,YES,40.634768,-74.023339,POINT (-74.023339 40.634768)
BMT,4th Av,B,Bay Ridge Av,36,Bay Ridge Av,36,R42,R,Stair,YES,YES,40.635484,-74.0233079,POINT (-74.0233079 40.635484)
BMT,4th Av,B,77 St,37,77 St,37,R43,R,Stair,YES,YES,40.6295183,-74.025749,POINT (-74.025749 40.6295183)
BMT,4th Av,B,77 St,37,77 St,37,R43,R,Stair,YES,YES,40.6294674,-74.0255076,POINT (-74.0255076 40.6294674)
BMT,4th Av,B,86 St,38,86 St,38,R44,R,Stair,YES,YES,40.6226535,-74.0285564,POINT (-74.0285564 40.6226535)
BMT,4th Av,B,86 St,38,86 St,38,R44,R,Stair,YES,YES,40.622583,-74.028315,POINT (-74.028315 40.622583)
BMT,4th Av,B,86 St,38,86 St,38,R44,R,Stair,YES,YES,40.623498,-74.028204,POINT (-74.028204 40.623498)
BMT,4th Av,B,86 St,38,86 St,38,R44,R,Stair,NO,YES,40.6302302,-74.0254577,POINT (-74.0254577 40.6302302)
BMT,4th Av,B,86 St,38,86 St,38,R44,R,Elevator,YES,YES,40.6225859,-74.0283617,POINT (-74.0283617 40.6225859)
BMT,4th Av,B,86 St,38,86 St,38,R44,R,Stair,YES,YES,40.6224943,-74.0286163,POINT (-74.0286163 40.6224943)
BMT,4th Av,B,Bay Ridge-95 St,39,Bay Ridge-95 St,39,R45,R,Stair,YES,YES,40.616021,-74.031383,POINT (-74.031383 40.616021)
BMT,4th Av,B,Bay Ridge-95 St,39,Bay Ridge-95 St,39,R45,R,Stair,YES,YES,40.6162027,-74.031236,POINT (-74.031236 40.6162027)
BMT,4th Av,B,Bay Ridge-95 St,39,Bay Ridge-95 St,39,R45,R,Easement - Street,YES,YES,40.6159342,-74.0308333,POINT (-74.0308333 40.6159342)
BMT,4th Av,B,Bay Ridge-95 St,39,Bay Ridge-95 St,39,R45,R,Stair,YES,YES,40.617604,-74.0306828,POINT (-74.0306828 40.617604)
BMT,4th Av,B,Bay Ridge-95 St,39,Bay Ridge-95 St,39,R45,R,Stair,YES,YES,40.6173787,-74.0304053,POINT (-74.0304053 40.6173787)
IND,63rd St,Q,21 St-Queensbridge,221,21 St-Queensbridge,221,B04,F,Escalator,YES,YES,40.7541656,-73.9425499,POINT (-73.9425499 40.7541656)
IND,63rd St,Q,21 St-Queensbridge,221,21 St-Queensbridge,221,B04,F,Elevator,YES,YES,40.7543246,-73.9423416,POINT (-73.9423416 40.7543246)
IND,63rd St,Q,21 St-Queensbridge,221,21 St-Queensbridge,221,B04,F,Stair,YES,YES,40.7540129,-73.9422248,POINT (-73.9422248 40.7540129)
IND,63rd St,Q,21 St-Queensbridge,221,21 St-Queensbridge,221,B04,F,Stair,YES,YES,40.754262,-73.9419961,POINT (-73.9419961 40.754262)
IND,63rd St,M,Roosevelt Island,222,Roosevelt Island,222,B06,F,Station House,YES,YES,40.7590185,-73.9534576,POINT (-73.9534576 40.7590185)
